,transect,row,time,week,julian,count,position
311,control,49,pm,24,162,0,1
312,control,49,pm,24,162,0,2
313,control,49,pm,24,162,2,3
314,control,49,pm,24,162,0,4
321,control,51,pm,24,162,0,1
322,control,51,pm,24,162,0,2
323,control,51,pm,24,162,0,3
324,control,51,pm,24,162,0,4
361,control,47,am,24,162,1,1
362,control,47,am,24,162,0,2
363,control,47,am,24,162,0,3
364,control,47,am,24,162,1,4
371,control,49,am,24,162,0,1
372,control,49,am,24,162,0,2
373,control,49,am,24,162,1,3
374,control,49,am,24,162,0,4
381,control,51,am,24,162,0,1
382,control,51,am,24,162,0,2
383,control,51,am,24,162,0,3
384,control,51,am,24,162,0,4
421,control,47,pm,24,163,0,1
422,control,47,pm,24,163,0,2
423,control,47,pm,24,163,1,3
424,control,47,pm,24,163,1,4
431,control,49,pm,24,163,2,1
432,control,49,pm,24,163,0,2
433,control,49,pm,24,163,0,3
434,control,49,pm,24,163,1,4
441,control,51,pm,24,163,3,1
442,control,51,pm,24,163,1,2
443,control,51,pm,24,163,2,3
444,control,51,pm,24,163,0,4
481,control,47,am,24,163,0,1
482,control,47,am,24,163,0,2
483,control,47,am,24,163,0,3
484,control,47,am,24,163,1,4
491,control,49,am,24,163,0,1
492,control,49,am,24,163,2,2
493,control,49,am,24,163,1,3
494,control,49,am,24,163,0,4
501,control,51,am,24,163,0,1
502,control,51,am,24,163,0,2
503,control,51,am,24,163,1,3
504,control,51,am,24,163,1,4
541,control,47,pm,24,164,2,1
542,control,47,pm,24,164,4,2
543,control,47,pm,24,164,4,3
544,control,47,pm,24,164,0,4
551,control,49,pm,24,164,0,1
552,control,49,pm,24,164,0,2
553,control,49,pm,24,164,0,3
554,control,49,pm,24,164,1,4
561,control,51,pm,24,164,0,1
562,control,51,pm,24,164,1,2
563,control,51,pm,24,164,0,3
564,control,51,pm,24,164,0,4
601,control,47,am,24,164,1,1
602,control,47,am,24,164,0,2
603,control,47,am,24,164,0,3
604,control,47,am,24,164,2,4
611,control,49,am,24,164,1,1
612,control,49,am,24,164,0,2
613,control,49,am,24,164,0,3
614,control,49,am,24,164,0,4
621,control,51,am,24,164,0,1
622,control,51,am,24,164,0,2
623,control,51,am,24,164,1,3
624,control,51,am,24,164,0,4
661,control,45,pm,25,170,1,1
662,control,45,pm,25,170,1,2
663,control,45,pm,25,170,0,3
664,control,45,pm,25,170,0,4
671,control,47,pm,25,170,0,1
672,control,47,pm,25,170,0,2
673,control,47,pm,25,170,1,3
674,control,47,pm,25,170,0,4
681,control,49,pm,25,170,0,1
682,control,49,pm,25,170,1,2
683,control,49,pm,25,170,0,3
684,control,49,pm,25,170,0,4
691,control,45,am,25,170,0,1
692,control,45,am,25,170,0,2
693,control,45,am,25,170,0,3
694,control,45,am,25,170,0,4
701,control,47,am,25,170,0,1
702,control,47,am,25,170,0,2
703,control,47,am,25,170,0,3
704,control,47,am,25,170,0,4
711,control,49,am,25,170,0,1
712,control,49,am,25,170,0,2
713,control,49,am,25,170,0,3
714,control,49,am,25,170,0,4
781,control,45,am,25,171,0,1
782,control,45,am,25,171,0,2
783,control,45,am,25,171,0,3
784,control,45,am,25,171,0,4
791,control,47,am,25,171,0,1
792,control,47,am,25,171,1,2
793,control,47,am,25,171,0,3
794,control,47,am,25,171,0,4
801,control,49,am,25,171,1,1
802,control,49,am,25,171,1,2
803,control,49,am,25,171,0,3
804,control,49,am,25,171,0,4
871,control,45,pm,25,171,0,1
872,control,45,pm,25,171,0,2
873,control,45,pm,25,171,0,3
874,control,45,pm,25,171,0,4
881,control,47,pm,25,171,0,1
882,control,47,pm,25,171,0,2
883,control,47,pm,25,171,0,3
884,control,47,pm,25,171,0,4
891,control,49,pm,25,171,0,1
892,control,49,pm,25,171,0,2
893,control,49,pm,25,171,0,3
894,control,49,pm,25,171,0,4
931,control,45,am,25,172,0,1
932,control,45,am,25,172,1,2
933,control,45,am,25,172,0,3
934,control,45,am,25,172,0,4
941,control,47,am,25,172,0,1
942,control,47,am,25,172,0,2
943,control,47,am,25,172,1,3
944,control,47,am,25,172,1,4
951,control,49,am,25,172,0,1
952,control,49,am,25,172,0,2
953,control,49,am,25,172,0,3
954,control,49,am,25,172,0,4
961,control,47,pm,25,172,0,1
962,control,47,pm,25,172,1,2
963,control,47,pm,25,172,0,3
964,control,47,pm,25,172,0,4
971,control,45,pm,25,172,0,1
972,control,45,pm,25,172,0,2
973,control,45,pm,25,172,0,3
974,control,45,pm,25,172,0,4
981,control,49,pm,25,172,0,1
982,control,49,pm,25,172,0,2
983,control,49,pm,25,172,0,3
984,control,49,pm,25,172,0,4
